Project_City,Project_City_Name
16,Agra
17,Ahmedabad
97,Ahmednagar
129,Ajmer
181,Alappuzha
130,Alwar
13,Aurangabad
3,Bangalore
3,Bengaluru
133,Bhiwadi
39,Bhopal
26,Bhubaneswar
134,Bikaner
29,Calicut
41,Chandigarh
6,Chennai
175,Chikkamagaluru
7,Delhi
38,Durgapur
65,Faridabad
58,Gandhinagar
157,Ghaziabad
158,Greater noida
66,Gurgaon
40,Guwahati
90,Gwalior
4,Hyderabad
32,Indore
31,Jaipur
59,Jamnagar
71,Jamshedpur
136,Jodhpur
35,Kannur
21,Kanpur
172,Karnal
170,Kerala
22,Kochi
23,Kolkata
81,Kollam
36,Kottayam
20,Lucknow
125,Ludhiana
77,Mangalore
52,Mathura
14,Meerut
126,Mohali
1,Mumbai
15,Mysore
6,NA
11,Nashik
161,Noida
86,Palakkad
10,Pune
24,Ratnagiri
169,Siliguri
117,Solapur
33,Surat
37,Thiruvalla
28,Thrissur
34,Trivandrum
30,Vadodara
25,Visakhapatanam
